PropertyID,Title,Price,Location,Bedrooms,Bathrooms,Size
P1040,5 Bed Townhouse with En Suite in Lavington,"KSh 110,000,000",Lavington,5 Bedrooms,5 Bathrooms,"0,13 m²"
P1041,5 Bed Townhouse with En Suite in Lavington,"KSh 75,000,000",Lavington,5 Bedrooms,5 Bathrooms,"0,25 m²"
P1042,4 Bed Townhouse with En Suite in Lavington,"KSh 40,000,000",Lavington,4 Bedrooms,4 Bathrooms,N/A
P1043,5 Bed Villa with En Suite in Lavington,"KSh 75,000,000",Lavington,5 Bedrooms,6 Bathrooms,N/A
P1044,4 Bed Townhouse with En Suite in Karen,"KSh 64,000,000",Karen,4 Bedrooms,4 Bathrooms,N/A
P1045,5 Bed Townhouse with En Suite in Karen,"KSh 115,000,000",Karen,5 Bedrooms,5 Bathrooms,N/A
P1046,4 Bed House with En Suite at Karunguro,"KSh 25,000,000","Karunguro, Ruiru",4 Bedrooms,4 Bathrooms,250 m²
P1047,5 Bed Townhouse with En Suite in Lavington,"KSh 140,000,000",Lavington,5 Bedrooms,6 Bathrooms,N/A
P1048,6 Bed Townhouse with En Suite in Lavington,"KSh 220,000,000",Lavington,6 Bedrooms,7 Bathrooms,N/A
P1049,5 Bed Townhouse with En Suite in Lavington,"KSh 110,000,000",Lavington,5 Bedrooms,6 Bathrooms,N/A
